"Name","World Rank (Sep-01-2021)","Annual Revenue in USD","Annual Net Income in USD","Market Value (Jan-01-2021)","Headquarters Country","Company Business","Number of Employees","Stock Category","CEO","Stock Exchange","Company Website"
"SPIRAX-SARCO ENGINEERING","1,275","1,714 Million USD","45 Million USD","11.789 Billion USD","UK","Engineering Products, Engineering Services, Industries","99","S&P EUROPE 350, FTSE 100","","LSE","https://www.bb.com.br"
"SINO BIOPHARMACEUTICAL","1,276","3,635 Million USD","407 Million USD","18.245 Billion USD","Hong Kong","Biopharmaceutical, Biotechnology, Healthcare","23,475","","","HKeX","https://www.bb.com.br"
"MTN GROUP","1,277","12,376 Million USD","1,140 Million USD","7.324 Billion USD","South Africa","Telecom, Technology Hardware and Instruments, Communication Services","19,288","","","JSE","https://www.bb.com.br"
"NN GROUP","1,278","23,510 Million USD","2,159 Million USD","14.075 Billion USD","Netherlands","Asset Management, Insurance, Financial Services","15,194","S&P EUROPE 350","","Frankfurt, EURONEXT","https://www.bb.com.br"
"NEW CHINA LIFE INSURANCE COMPANY","1,279","26,100 Million USD","2,184 Million USD","22.513 Billion USD","China","Banking Services, Insurance, Financial Services","","","","HKeX, Shanghai","https://www.bb.com.br"
"VODACOM GROUP","1,280","6,261 Million USD","1,068 Million USD","14.347 Billion USD","South Africa","Telecom, Mobile Services, Communication Services","5,403","","","JSE","https://www.bb.com.br"
"VARIAN MEDICAL SYSTEMS","1,281","3,168 Million USD","269 Million USD","15.988 Billion USD","USA","Biotechnology, Electronics, Healthcare","10,062","","","NYSE","https://www.bb.com.br"
"SPRINT CORPORATION","1,282","33,600 Million USD","1,943 Million USD","","USA","Telecom, Mobile Services, Communication Services","","","","NYSE","https://www.bb.com.br"
"TRYG A/S","1,283","3,636 Million USD","444 Million USD","9.516 Billion USD","Denmark","Insurance, Financial Services","4,000","","","Copenhagen, Nasdaq Nordic","https://www.bb.com.br"
"FLAT GLASS GROUP","1,284","939 Million USD","244 Million USD","11.072 Billion USD","China","Solar Power Devices, Glass Products, Industries","","","","HKeX","http://www.flatgroup.com.cn/"
"XINYI GLASS HOLDINGS","1,285","2,420 Million USD","835 Million USD","11.232 Billion USD","Hong Kong","Glass Products, Building Products and Equipment, Industries","13,117","","","HKeX, Frankfurt","http://www.flatgroup.com.cn/"
"PAYTM","1,285","374 Million USD","227 Million USD","","India","Technology, Software and IT, Digital Payment Solution Services","5,000","","","","http://www.flatgroup.com.cn/"
"YONYOU NETWORK TECHNOLOGY","1,286","1,279 Million USD","148 Million USD","21.962 Billion USD","China","Software and IT, Cloud Services, Technology","17,271","","","Shanghai","http://www.flatgroup.com.cn/"
"ORIENT OVERSEAS (INTERNATIONAL)","1,287","9,191 Million USD","902 Million USD","6.255 Billion USD","Hong Kong","Shipping, Logistics, Industries","10,677","","","HKeX","http://www.flatgroup.com.cn/"
"AB INDUSTRIVARDEN (PUBL)","1,288","1,020 Million USD","1,013 Million USD","14.257 Billion USD","Sweden","Investments, Asset Management, Financial Services","15","S&P EUROPE 350","","Stockholm, Frankfurt","http://www.flatgroup.com.cn/"
"BROWN & BROWN","1,289","2,606 Million USD","465 Million USD","13.467 Billion USD","USA","Insurance, Financial Services","10,083","S&P 500","","Frankfurt, NYSE","http://www.flatgroup.com.cn/"
"WPP PLC","1,290","16,564 Million USD","-4,065 Million USD","13.405 Billion USD","UK","Media, Advertising, Communication Services","130,000","S&P EUROPE 350, FTSE 100","","Frankfurt, LSE, NYSE","http://www.flatgroup.com.cn/"
"SWISS LIFE HOLDING AG","1,291","22,746 Million USD","1,130 Million USD","14.950 Billion USD","Switzerland","Insurance, Financial Services","9,300","S&P EUROPE 350","","Switzerland","http://www.flatgroup.com.cn/"
"CLARIVATE PLC","1,292","974 Million USD","","18.003 Billion USD","UK","Software and IT, Technology","8,300","","","Frankfurt, NYSE","http://www.flatgroup.com.cn/"
"FRANKLIN RESOURCES","1,293","5,566 Million USD","784 Million USD","12.642 Billion USD","USA","Asset Management, Investments, Financial Services","9,600","S&P 500","","Frankfurt, NYSE","https://www.franklinresources.com/"
"ENTEGRIS","1,294","1,859 Million USD","295 Million USD","12.973 Billion USD","USA","Plastics / Plastic Products, Consumer Non Durables, Technology","5,300","","","Frankfurt, Nasdaq","https://www.franklinresources.com/"
"TEXTRON","1,295","11,651 Million USD","309 Million USD","11.062 Billion USD","USA","Aerospace and Defense, Aerospace Products, Industries","35,000","S&P 500","","Frankfurt, NYSE","https://www.franklinresources.com/"
"ARCH CAPITAL GROUP","1,296","8,308 Million USD","1,364 Million USD","14.645 Billion USD","Bermuda","Insurance, Financial Services","4,500","","","Frankfurt, Nasdaq","https://www.franklinresources.com/"
"PPD, INC.","1,297","4,681 Million USD","120 Million USD","11.965 Billion USD","USA","Pharmaceutical, Healthcare","24,000","","","Nasdaq","https://www.franklinresources.com/"
"B3 - BRASIL BOLSA BALCAO","1,298","1,603 Million USD","789 Million USD","24.305 Billion USD","Brazil","Stock Markets, Trading, Capital Markets, Financial Services","2,200","","","Bovespa Brazil","https://www.franklinresources.com/"
"GAMESTOP","1,299","5,089 Million USD","-215 Million USD","1.335 Billion USD","USA","Video Games / Mobile Games / Tech Games / Casino Games, Gaming, Consumer Cyclical","30,000","","","NYSE, Frankfurt","https://www.franklinresources.com/"
"BOUYGUES SA","1,300","44,852 Million USD","1,385 Million USD","15.598 Billion USD","France","Construction, Infrastructure, Industries","130,500","EURONEXT 100, S&P EUROPE 350, CAC 40","","Frankfurt, EURONEXT","https://www.franklinresources.com/"
"CHINA GAS HOLDINGS","1,301","45,576 Million USD","828 Million USD","20.706 Billion USD","Hong Kong","Gas Utilities, Oil and Gas, Utilities","59,462","","","HKeX","https://www.franklinresources.com/"
"AJINOMOTO","1,302","10,010 Million USD","168 Million USD","12.565 Billion USD","Japan","Food and Beverage, Food Products, Consumer Defensive","32,509","Japan ADRs, NIKKEI 225","","Tokyo","https://www.franklinresources.com/"
"AYALA CORPORATION","1,303","4,075 Million USD","294 Million USD","17.688 Billion USD","Philippines","Conglomerate, Real Estate, Industries","64,373","Philippines ADRs","","PSE","https://www.ayala.com.ph/"
"GEORGE WESTON","1,304","43,326 Million USD","726 Million USD","11.473 Billion USD","Canada","Retail, Food and Beverage, Consumer Defensive","200,267","TSX 60","","TSX","https://www.ayala.com.ph/"
"CK INFRASTRUCTURE HOLDINGS","1,305","934 Million USD","952 Million USD","14.239 Billion USD","Hong Kong","Infrastructure, Investments, Industries","2,137","","","HKeX","https://www.ayala.com.ph/"
"CHINA LONGYUAN POWER GROUP CORPORATION","1,306","4,300 Million USD","709 Million USD","8.054 Billion USD","China","Electricity Generation, Power Generation, Utilities","","","","HKeX, Frankfurt","https://www.ayala.com.ph/"
"HEICO CORPORATION","1,307","1,787 Million USD","314 Million USD","16.660 Billion USD","USA","Electronics, Aerospace and Defense, Industries","5,900","","","NYSE","https://www.ayala.com.ph/"
"CTBC FINANCIAL HOLDING","1,308","6,960 Million USD","1,543 Million USD","13.677 Billion USD","Taiwan","Banking Services, Insurance, Financial Services","20,334","","","Taiwan","https://www.ayala.com.ph/"
"TERNA S.P.A.","1,309","2,907 Million USD","927 Million USD","15.286 Billion USD","Italy","Electric Utilities, Infrastructure, Utilities","4,290","S&P EUROPE 350","","Borsa Italiana","https://www.ayala.com.ph/"
"UDR","1,310","1,241 Million USD","60 Million USD","11.317 Billion USD","USA","Consumer Services, Investments, Real Estate","1,351","S&P 500","","Frankfurt, NYSE","https://www.ayala.com.ph/"
"GUANGDONG HAID GROUP","1,311","7,142 Million USD","247 Million USD","16.655 Billion USD","China","Food Products, Animal Healthcare Companies, Consumer Defensive","","","","Shenzhen","https://www.ayala.com.ph/"
"FOCUS MEDIA INFORMATION TECHNOLOGY","1,312","1,820 Million USD","281 Million USD","22.175 Billion USD","China","Media, Advertising, Communication Services","","","","Shenzhen","https://www.ayala.com.ph/"
"TRANSNEFT","1,313","12,511 Million USD","1,865 Million USD","13.970 Billion USD","Russia","Oil and Gas Pipeline Transport, Oil and Gas, Energy","115,900","","","Russia","https://en.transneft.ru/"
"STORA ENSO OYJ","1,314","10,093 Million USD","739 Million USD","15.005 Billion USD","Finland","Paper and Pulp, Forest Products, Basic Materials","26,096","S&P EUROPE 350","","Stockholm","https://en.transneft.ru/"
"LIBERTY GLOBAL","1,315","11,540 Million USD","-1,530 Million USD","13.905 Billion USD","UK","Telecom, Media, Communication Services","20,600","Nasdaq 100","","Frankfurt, Nasdaq","https://en.transneft.ru/"
"SAUDI ARABIAN FERTILIZERS COMPANY","1,316","2,432 Million USD","398 Million USD","8.955 Billion USD","Saudi Arabia","Fertilizers, Chemicals, Basic Materials","","","","Tadawul","https://en.transneft.ru/"
"HUANENG LANCANG RIVER HYDROPOWER","1,317","2,888 Million USD","725 Million USD","12.288 Billion USD","China","Hydro-Electric Power, Power Generation, Utilities","","","","Shanghai","https://en.transneft.ru/"
"NTPC","1,318","12,446 Million USD","1,674 Million USD","13.402 Billion USD","India","Electricity Generation, Power Generation, Utilities","19,918","BSE-100 Index, S&P BSE INDIA INFRA, S&P BSE POWER, S&P BSE UTILITIES, S&P BSE PSU, S&P BSE CPSE, Nifty 50 Index","","NSE, BSE","https://en.transneft.ru/"
"ALSTOM SA","1,319","9,677 Million USD","546 Million USD","16.912 Billion USD","France","Railway, Transportation, Industries","75,000","S&P EUROPE 350, EURONEXT 100","","EURONEXT","https://en.transneft.ru/"
"LYFT","1,320","2,364 Million USD","-1,753 Million USD","15.600 Billion USD","USA","Ride Sharing, Software and IT, Technology","4,779","","","Nasdaq","https://en.transneft.ru/"
"ENTAIN PLC","1,321","4,914 Million USD","80 Million USD","9.490 Billion USD","UK","Betting, Entertainment, Casinos","","S&P EUROPE 350","","LSE","https://en.transneft.ru/"
"SUZANO","1,322","6,092 Million USD","-2,038 Million USD","15.192 Billion USD","Brazil","Paper and Pulp, Basic Materials","9,385","","","NYSE, Bovespa Brazil","https://en.transneft.ru/"
"CHANGCHUN HIGH & NEW TECHNOLOGY INDUSTRY (GROUP)","1,323","1,286 Million USD","457 Million USD","27.810 Billion USD","China","Pharmaceutical, Biopharmaceutical, Healthcare","","","","Shenzhen","https://www.cchn.com.cn/"
"MEGA FINANCIAL HOLDING","1,324","2,192 Million USD","901 Million USD","14.432 Billion USD","Taiwan","Banking Services, Insurance, Financial Services","9,600","","","Taiwan","https://www.cchn.com.cn/"
"SIAM CEMENT PUBLIC COMPANY","1,325","12,398 Million USD","1,024 Million USD","15.120 Billion USD","Thailand","Cement, Construction Materials, Basic Materials","53,728","","","Thailand","https://www.cchn.com.cn/"
"CONAGRA BRANDS","1,326","11,050 Million USD","840 Million USD","17.714 Billion USD","USA","FMCG, Food Products, Consumer Defensive","18,000","S&P 500","","Frankfurt, NYSE","https://www.cchn.com.cn/"
"AES CORPORATION","1,327","9,660 Million USD","46 Million USD","15.631 Billion USD","USA","Energy, Electric Utilities, Utilities","8,000","S&P 500","","NYSE","https://www.cchn.com.cn/"
"QNB FINANSBANK","1,328","1,249 Million USD","303 Million USD","31.703 Billion USD","Turkey","Banking Services, Financial Services","11,111","","","Istanbul","https://www.cchn.com.cn/"
"STANDARD BANK GROUP","1,329","8,533 Million USD","828 Million USD","13.745 Billion USD","South Africa","Banking Services, Wealth Management, Financial Services","50,691","","","Frankfurt","https://www.cchn.com.cn/"
"TIFFANY & CO","1,330","4,420 Million USD","541 Million USD","15.960 Billion USD","USA","Luxury Goods, Consumer Services, Consumer Cyclical","14,100","","","Frankfurt, NYSE","https://www.cchn.com.cn/"
"ELANCO ANIMAL HEALTH","1,331","3,274 Million USD","-560 Million USD","14.474 Billion USD","USA","Animal Healthcare Companies, Animal Health Medicine, Healthcare","6,080","","","NYSE, Frankfurt","https://www.cchn.com.cn/"
"GONGNIU GROUP","1,332","1,550 Million USD","356 Million USD","","China","Electronics, Electrical Products","","","","Shanghai","https://www.cchn.com.cn/"
"LIGHTSPEED POS","1,333","120 Million USD","-54 Million USD","7.895 Billion USD","Canada","Software and IT, Technology Hardware and Instruments, Technology","1,165","","","TSX","https://www.lightspeedhq.com/"
"KESKO OYJ","1,334","12,589 Million USD","511 Million USD","10.220 Billion USD","Finland","Retail, Consumer Defensive","","","","LSE","https://www.lightspeedhq.com/"
"EQUITY LIFESTYLE PROPERTIES","1,335","1,080 Million USD","228 Million USD","11.546 Billion USD","USA","Consumer Services, Investments, Real Estate","4,200","","","Frankfurt, NYSE","https://www.lightspeedhq.com/"
"SIGNATURE BANK","1,336","332 Million USD","27 Million USD","7.247 Billion USD","USA","Banking Services, Financial Services","1,472","","","Nasdaq, Frankfurt","https://www.lightspeedhq.com/"
"PRADA","1,337","2,858 Million USD","-64 Million USD","16.898 Billion USD","Italy","Luxury Goods, Beauty and Personal Care, Consumer Cyclical","13,779","","","HKeX","https://www.lightspeedhq.com/"
"MAKITA CORPORATION","1,338","4,483 Million USD","430 Million USD","13.575 Billion USD","Japan","Electrical Products, Tools and Equipment, Industries","17,090","","","Tokyo","https://www.lightspeedhq.com/"
"YANG MING MARINE TRANSPORT CORPORATION","1,339","5,446 Million USD","431 Million USD","2.732 Billion USD","Taiwan","Shipping, Marine Transportation, Industries","","","","Taiwan","https://www.lightspeedhq.com/"
"CHINA RAILWAY CONSTRUCTION CORPORATION","1,340","140,540 Million USD","3,457 Million USD","15.011 Billion USD","China","Infrastructure, Railway Operating Company, Industries","","","","HKeX, Shanghai","https://www.lightspeedhq.com/"
"GODREJ CONSUMER PRODUCTS","1,341","1,288 Million USD","209 Million USD","10.337 Billion USD","India","FMCG, Personal Care Products, Consumer Defensive","2,768","S&P BSE FMCG, BSE-100 Index","","NSE, BSE","https://www.lightspeedhq.com/"
"OMNICOM GROUP","1,342","14,950 Million USD","1,339 Million USD","13.408 Billion USD","USA","Media, Advertising, Communication Services","70,000","S&P 500","","Frankfurt, NYSE","https://www.lightspeedhq.com/"
"RAKUTEN","1,343","13,245 Million USD","-1,028 Million USD","12.876 Billion USD","Japan","eCommerce, Retail, Consumer Cyclical","17,200","NIKKEI 225","","Tokyo","https://global.rakuten.com/corp"
"MOLINA HEALTHCARE","1,344","19,347 Million USD","673 Million USD","12.612 Billion USD","USA","Insurance, HealthCare Products, Healthcare","10,000","","","Frankfurt, NYSE","https://global.rakuten.com/corp"
"EVERGY","1,345","4,913 Million USD","618 Million USD","12.591 Billion USD","USA","Energy, Electric Utilities, Utilities","4,617","S&P 500","","NYSE","https://global.rakuten.com/corp"
"HALMA","1,346","1,846 Million USD","252 Million USD","12.671 Billion USD","UK","Technology, Machinery Manufacturing, Industries","6,000","S&P EUROPE 350, FTSE 100","","Frankfurt, LSE","https://global.rakuten.com/corp"
"CAPITALAND","1,347","4,834 Million USD","-1,165 Million USD","12.539 Billion USD","Singapore","Investments, Property Investments, Real Estate","8,500","","","Singapore","https://global.rakuten.com/corp"
"COGNEX CORPORATION","1,348","811 Million USD","176 Million USD","14.020 Billion USD","USA","Automation, Robotics, Technology","2,267","","","Frankfurt, Nasdaq","https://global.rakuten.com/corp"
"BANDAI NAMCO HOLDINGS","1,349","6,588 Million USD","519 Million USD","18.702 Billion USD","Japan","Video Games / Mobile Games / Tech Games / Casino Games, Entertainment, Consumer Cyclical","18,778","","","Tokyo","https://global.rakuten.com/corp"
"SOMPO HOLDINGS","1,350","32,605 Million USD","1,103 Million USD","14.061 Billion USD","Japan","Insurance, Financial Services","323","NIKKEI 225","","Frankfurt, Tokyo","https://global.rakuten.com/corp"
"BANK OF SHANGHAI","1,351","7,471 Million USD","3,045 Million USD","17.049 Billion USD","China","Banking Services, Financial Services","","","","Shanghai","https://global.rakuten.com/corp"
"CSPC PHARMACEUTICAL GROUP","1,352","3,741 Million USD","774 Million USD","12.247 Billion USD","China","Pharmaceutical, HealthCare Products, Healthcare","","","","HKeX","https://global.rakuten.com/corp"
"TOYOTA TSUSHO CORPORATION","1,353","60,916 Million USD","1,220 Million USD","14.223 Billion USD","Japan","Automobile, Automobile Parts, Basic Materials","66,067","NIKKEI 225","","Tokyo","https://www.toyota-tsusho.com/"
"EVONIK INDUSTRIES AG","1,354","14,395 Million USD","544 Million USD","15.140 Billion USD","Germany","Chemicals, Basic Materials","32,700","","","Frankfurt, Deutsche Borse","https://www.toyota-tsusho.com/"
