medical_specialty;board_certifications;doc_name;doc_gender;doc_languages;hospital;hospital_affiliations;hospital_telephone;fellowships;education_and_training_medical_school;education_and_training_internship;education_and_training_residency
Ophthalmology;;Caroline  Craven, MD;Female;;Grady Memorial Hospital;Emory;(404) 616-1000;Emory University;University of Cinncinatti;Riverside Methodist Hospital;Ohio State University Hospital
Obstetrics/Gynecology;ABMS Obstetrics/Gynecology;Christina  Hamilton, MD;Female;;Grady Memorial Hospital;Morehouse;(404) 616-1000;;Medical College of Georgia;;Spectrum Health System
Otolaryngology;ABMS Otolaryngology;James M. Hamilton, MD;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;;Jefferson Medical College;;Thomas Jefferson University
Nuclear Medicine;ABMS Nuclear Medicine;Lance T. Hall, MD;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;;Baylor College of Medicine;West Virginia University School of Medicine;University of Wisconsin Hospital and Clinics
Surgery;ABMS Surgery;Michael E. Halkos, MD;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;Emory University School of Medicine;Emory University School of Medicine;;Emory University School of Medicine
Otolaryngology;ABMS Otolaryngology;Jeanne L. Hatcher, MD;Female;;Grady Memorial Hospital;Emory;(404) 616-1000;University of Texas Health Science Center;Wake Forest University;North Carolina Baptist Hospital;Wake Forest University
Anesthesiology;ABMS Anesthesiology;Matthew T. Hunter, MD;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;;Temple University Hospital;;Temple University Hospital
Emergency Medicine;ABMS Emergency Medicine;Chad P. Huot, MD;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;;St. Louis University School of Medicine;University of Colorado School of Medicine;University of Colorado School of Medicine
Radiology;ABMS Radiology;Scott A. Hamlin, MD;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;;University of South Florida College of Medicine;;Emory University School of Medicine
Neurology;ABMS Psychiatry/Neurology;Taylor B. Harrison, MD;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;;University of Louisville School of Medicine;University of Louisville School of Medicine;Emory University School of Medicine
Gastroenterology;ABMS Internal Medicine;Steven A. Keilin, MD;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;John H. Stroger, Jr. Hospital of Cook County;University of Cincinnati  College of Medicine;;Atlanta Medical Center
Thoracic Surgery;ABMS Surgery;William B. Keeling, MD, FACS, FACC;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;;University of Louisville School of Medicine;;University of South Florida
Emergency Medicine;ABMS Emergency Medicine;Ziad N. Kazzi, MD, FAAEM, FACEP, FACMT, FAACT;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;Emory University School of Medicine;;Emory University School of Medicine;Emory University School of Medicine-Emergency Medicine
Rheumatology;ABMS Internal Medicine;Kelly E. Kaysen, MD;Female;;Grady Memorial Hospital;Emory;(404) 616-1000;Emory University School of Medicine;Emory University School of Medicine;Bellevue Hospital;Bellevue Hospital
Neurology;ABMS Psychiatry/Neurology;Vita G. Kesner, MD;Female;;Grady Memorial Hospital;Emory;(404) 616-1000;Emory University School Of Medicine;Donetsk Medical University-ECFMG;Mount Sinai Hospital;Universlty Hospitals of Cleveland /Case
Neonatology;ABMS Pediatrics;Salathiel R. Kendrick-Allwood, MD;Female;;Grady Memorial Hospital;Emory;(404) 616-1000;New York University Medical Center;University of Miami School of Medicine;New York University Medical Center;New York University Medical Center
Critical Care Medicine;ABMS Internal Medicine;Andre L. Holder, MD, MSc;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;University of Pittsburgh School of Medicine;SUNY, Health Science College of Medicine;;SUNY Downstate Medical Center
Diagnostic Radiology;ABMS Radiology;Anna I. Holbrook, MD;Female;;Grady Memorial Hospital;Emory;(404) 616-1000;Mayo Clinic College of Medicine;Vanderbilt Unversity Hospital;Spartanburg Regional Medical Center;University of Chicago
Emergency Medicine;ABMS Emergency Medicine;Jordan  Kaylor, MD;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;;Emory University School of Medicine;;McGaw Medical Center of Northwestern University
Pulmonary Disease;ABMS Internal Medicine;Jordan A. Kempker, MD;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;Emory University School of Medicine;University of Florida Health Sciences Center;;Emory University School of Medicine
;ABMS Oral & Maxillofacial Surgery;Grant M. Hogan, MD;Male;;;Emory;(404) 616-1000;;University of Texas - Southwestern Medical Center;University of Texas Southwestern Medical Center at Dallas;University of Texas Southwestern Medical Center at Dallas
Diagnostic Radiology;ABMS Radiology;Carrie N. Hoff, MD;Female;;Grady Memorial Hospital;Emory;(404) 616-1000;University of Michigan Health System;Mayo Medical School/Clinic;Banner Good Samaritan;University of Michigan Health System
Neuroradiology;ABMS Radiology;Ranliang  Hu, MD;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;Massachusetts General Hospital;Harvard Medical School;Crozer-Chester Medical Center;Massachusetts General Hospital
Neonatology;ABMS Pediatrics;Sarah D. Keene, MD;Female;;Grady Memorial Hospital;Emory;(404) 616-1000;Children's Hospital of Philadelphia;Emory University School of Medicine;;Children's Hospital of Philadelphia
Cardiothoracic Vascular Surgery;ABMS Surgery;Jeffrey  Javidfar, MD;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;Duke University Medical Center;Stony Brook University School of Medicine;NY Presbyterian/Columbia;New York Presbyterian - Columbia
Infectious Disease;ABMS Internal Medicine;David P. Holland, MD, MHS;Male;;Ponce De Leon Center;Emory;(404) 616-1000;James Eastwood, MD;Emory University School of Medicine;;Emory Saint Joseph's Hospital
Nephrology;ABMS Internal Medicine;Robert D. Jansen, MD;Male;;Grady Memorial Hospital;Grady;(404) 616-1000;Washington University School of Medicine;Emory University School of Medicine;Barnes-Jewish Hospital;Barnes-Jewish Hospital
Nuclear Medicine;ABMS Nuclear Medicine;Jeranfel  Hernandez, MD, MBA;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;Emory University School of Medicine;Universidad Iberoamericana;Hospital Oncologico I. Gonzalez Martinez;Ramon Ruiz Arnau University Hospital
Psychiatry;ABMS Psychiatry/Neurology;Sarah E. Herbert, MD;Female;;Grady Memorial Hospital;Morehouse;(404) 616-1000;Emory University School of Medicine;Emory University School of Medicine;Emory University School of Medicine;Emory University School of Medicine
General Medicine;ABMS Internal Medicine;Tracey L. Henry, MD, MPH, MS;Female;;Grady Memorial Hospital;Emory;(404) 616-1000;Georgetown University School of Medicine;Georgetown University School of Medicine;;Ochsner Clinic Foundation
Oral & Maxillofacial Surgery;ABMS Oral & Maxillofacial Surgery;Jennifer D. Keyser, DDS;Female;;Grady Memorial Hospital;Emory;(404) 616-1000;;;;Emory University School of Medicine
Otolaryngology;ABMS Otolaryngology;Oswaldo A. Henriquez, MD;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;Medical University of South Carolina;Universidad Central De Edificio Decanato de Medicina;;Emory University School of Medicine
Obstetrics/Gynecology;ABMS Obstetrics/Gynecology;Tara C. Jatlaoui, MD;Female;;Grady Memorial Hospital;Emory;(404) 616-1000;;New Jersey Medical School;;Emory University School of Medicine
Internal Medicine;ABMS Family Medicine;Gerty  Jean-Louis, MD;Female;;Grady Memorial Hospital;Emory;(404) 616-1000;;;;Columbus Regional Midtown
Internal Medicine;ABMS Internal Medicine;Reena H. Hemrajani, MD;Female;;Grady Memorial Hospital;Emory;(404) 616-1000;;Florida State University College of Medicine;;Virginia Commonwealth University
Surgery;ABMS Surgery;Vernon J. Henderson, MD;Male;;Grady Memorial Hospital;Morehouse;(404) 616-1000;;Stanford Univ;;Stanford School of Medicine
Rheumatology;ABMS Internal Medicine;Arezou  Khosroshahi, MD;Female;;Grady Memorial Hospital;Emory;(404) 616-1000;Massachusetts General Hospital;Tehran University of Medical Sciences;;St. Luke's & Roosevelt Hospitals
Obstetrics/Gynecology;ABMS Obstetrics/Gynecology;Namita  Khanna, MD;Female;;Grady Memorial Hospital;Emory;(404) 616-1000;Jackson Health System;Nilratan Sircar Medical College;;Jackson Health System
Internal Medicine;ABMS Internal Medicine;Anna P. Kho, MD;Female;;Grady Memorial Hospital;Emory;(404) 616-1000;;Emory University School of Medicine;;Rhode Island Hospital
Infectious Disease;ABMS Internal Medicine;Sheetal  Kandiah, MD;Female;;Grady Memorial Hospital;Emory;(404) 616-1000;Tufts-New England Medical Center;;;Morristown Memorial Hospital
Psychiatry;ABMS Psychiatry/Neurology;Sheril O. Kalarithara, MD;Female;;Grady Memorial Hospital;Morehouse;(404) 616-1000;;University at Buffalo School of Medicine and Biomedical Science;;Emory University School of Medicine
Internal Medicine;ABMS Internal Medicine;Aley G. Kalapila, MD;Female;;Ponce De Leon Center;Emory;(404) 616-1000;University of Washington School of Medicine;Penn State College;;University of Washington School of Medicine
Emergency Medicine;ABMS Emergency Medicine;Monica  Khan, MD;Female;;Grady Memorial Hospital;Emory;(404) 616-1000;;Rush Medical College;;Emory University School of Medicine
Otolaryngology;ABMS Otolaryngology;Azeem  Kaka, MD;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;University of Washington School of Medicine;Ohio State University;;Ohio State University Hospital
Infectious Disease;ABMS Internal Medicine;Ameeta S. Kalokhe, MD;Female;;Ponce De Leon Center;Emory;(404) 616-1000;Emory University School of Medicine;Wayne State University School of Medicine;;Emory University School of Medicine
Emergency Medicine;ABMS Emergency Medicine;Megan C. Henn, MD;Female;;Grady Memorial Hospital;Emory;(404) 616-1000;;Georgetown University School of Medicine;;Emory University School of Medicine
Neuroradiology;ABMS Radiology;Nadja  Kadom, MD;Female;German;Grady Memorial Hospital;Emory;(404) 616-1000;Childrens National Medical Center;;;George Washington University Medical Center
Oral & Maxillofacial Surgery;ABMS Oral & Maxillofacial Surgery;Edwin D.  Joy, DDS;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;;;;Medical College of Virginia Hospitals
Neurology;ABMS Psychiatry/Neurology;Jaffar  Khan, MD, FAAN;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;Emory University School of Medicine;Louisiana State Univ School of Medicine;Louisiana State University at New Orleans School of Medicine;University of Iowa Hospitals and Clinics
Ophthalmology;ABMS Ophthalmology;Andrew M. Hendrick, MD;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;University of Wisconsin Madison;Ohio State University  College of Medicine;Exempla St Joseph Hospital;University of Colorado at Denver and Health Sciences Center
Internal Medicine;ABMS Internal Medicine;Imran A. Khan, MD;Male;;Grady Memorial Hospital;Morehouse;(404) 616-1000;;Ross University School of Medicine;Mercer University School of Medicine;Mercer University School of Medicine
Radiation Oncology;ABMS Radiology;Mohammad K. Khan, MD;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;;University of Tennessee Health Science Center;Cleveland Clinic;Cleveland Clinic
Ophthalmology;ABMS Ophthalmology;Yousuf M. Khalifa, MD;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;;Medical College of Georgia;Augusta University;Augusta University
Emergency Medicine;ABMS Emergency Medicine;Usama  Khalid, MD;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;;Wayne State University School of Medicine;;Sinai Grace Hospital
Family Medicine;ABMS Internal Medicine;Asma  Khalid, MD;Female;;Camp Creek Comprehensive Care Center;Grady;(404) 616-1000;Vanderbilt University Medical Center;American University of the Caribbean School of Medicine;;Somerest Medical Center
Orthopaedics;ABMS Orthopaedic Surgery;John G. Heller, MD;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;University of California San Diego Medical Center;Johns Hopkins University School of Medicine;University Hospitals of Cleveland;University Hospitals of Cleveland
Internal Medicine;ABMS Internal Medicine;Erica M. Heiman, MD, MSc;Female;;Grady Memorial Hospital;Emory;(404) 616-1000;;University of California San Francisco, School of Medicine;University of California Davis School of Medicne;University of California Davis School of Medicne
Radiation Oncology;ABMS Radiology;Ashesh B. Jani, MD;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;;University of Illinois College of Medicine;Rush-Presbyterian-St. Luke's Medical Center;University of Chicago Hospitals
Obstetrics/Gynecology;ABMS Obstetrics/Gynecology;Denise J. Jamieson, MD, MPH;Female;;Grady Memorial Hospital;Emory;(404) 616-1000;;Duke University School of Medicine;University of California San Francisco School of Medicine;University of California San Francisco School of Medicine
Emergency Medicine;ABMS Emergency Medicine;Elena M. James, MD;Female;;Grady Memorial Hospital;Emory;(404) 616-1000;;Augusta University;;Vanderbilt University Medical Center
Medical Oncology;ABMS Internal Medicine;Sanjay R. Jain, MD, MS, PhD;Male;;Grady Memorial Hospital;Morehouse;(404) 616-1000;Beth Israel Deaconess Medical Center;Jawahar Lal Medical College;Kent State;Miriam Hospital
Abdominal Imaging;ABMS Radiology;Omar N. Kallas, MD;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;;Weill Cornell Medical;Emory University Hospital;Emory University Hospital
Psychiatry;ABMS Psychiatry/Neurology;Jordan M.T. Howard, MD;Male;;Grady Memorial Hospital;Morehouse;(404) 616-1000;;Windsor University School of Medicine;;Morehouse School of Medicine
Internal Medicine;ABMS Internal Medicine;Terry A. Jacobson, MD;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;Hospital of University of Pennsylvania;Cornell University Medical College;New York University Medical Center;New York University Med Ctr
Emergency Medicine;ABMS Emergency Medicine;Debra E. Houry, MD;Female;;Grady Memorial Hospital;Emory;(404) 616-1000;Denver Health and Hospitals;Tulane University School of Medicine;St. Joseph Hospital (Denver);Denver Health and Hospitals
Diagnostic Radiology;ABMS Radiology;Aparna R. Kakarala, MD;Female;;Grady Memorial Hospital;Emory;(404) 616-1000;Michigan State University;MR Medical College;St. Joseph Mercy Hospital-PMI;Michigan State University
Physical Medicine & Rehabilitation;ABMS Physicial Medicine & Rehabilitation;Cassandra J. Kaiser, MD;Female;;Grady Memorial Hospital;Emory;(404) 616-1000;;A. T. Still University School of Osteopathic Medicine;St. Mary Medical Center;Baylor University Medical Center
Psychiatry;;Maryam  Hosseini, MD;Female;;Grady Memorial Hospital;Emory;(404) 616-1000;;Morehouse School of Medicine;;Emory University
Neurology;ABMS Neurological Surgery;Romy  Hoque, MD;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;Louisiana State University;Albert Einstein College of Medicine;St. Luke' Roosevelt Hospital Center;Albert Einstein College of Medicine
Surgery;ABMS Surgery;Juvonda S. Hodge, MD;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;;New Jersey Medical School;;Howard University Hospital
Ophthalmology;ABMS Ophthalmology;Homaira Ayesha Hossain, MD;Female;;Grady Memorial Hospital;Emory;(404) 616-1000;Massachusetts Eye Research and Surgery Institution;Case Western Reserve University;University of Tennessee;Case Western Reserve University
Anesthesiology;ABMS Anesthesiology;McKenzie M. Hollon, MD, FASE;Female;;Grady Memorial Hospital;Emory;(404) 616-1000;Emory University School of Medicine;Louisiana State University School of Medicine(NO);Emory University School of Medicine;Emory University School of Medicine
