"Name","Specialties","Affiliations","Years In Practice","Provider Gender","Language","Age Groups Seen","Education","Rating"
"Bhavana R Vyas","Pediatrics","Beaumont Hospital, Troy","32","Female","English Gujarati Hindi","Newborns Pediatrics Teenagers","Henry Ford Hospital",""
"Alka D Aggarwal","Family Medicine","Beaumont Hospital, Trenton","38","Female","English Hindi","Newborns Pediatrics Teenagers Adults Geriatrics","Henry Ford Hospital",""
"Shehnaz Rizvi","Internal Medicine","Beaumont Hospital, Dearborn","45","Female","Arabic English Hindi Urdu","Adults Geriatrics","St. Joseph Mercy Hospital",""
"Megha Mohey","Internal Medicine","Beaumont Hospital, Dearborn","","Female","English Hindi","Adults Geriatrics","Henry Ford Hospital",""
"Parvathi Sivaramakrishnan","Pediatrics","Beaumont Hospital, Royal Oak","28","Female","English Tamil","Newborns Pediatrics Teenagers","Henry Ford Hospital",""
"Robert R Roman","Pediatrics","Beaumont Hospital, Royal Oak","46","Male","English","Newborns Pediatrics Teenagers","Children's Hospital of Michigan - DMC",""
"Matthew J Sebastian","Family Medicine","Beaumont Hospital, Farmington Hills","10","Male","English","Newborns Pediatrics Teenagers Adults Geriatrics","Beaumont Health - Farmington Hills","4.8 out of 5"
"Michael James Dionne","Internal Medicine","Beaumont Hospital, Grosse Pointe","39","Male","English","Adults Geriatrics","Bon Secours Hospital","4.6 out of 5"
"Nobin J Kottukapally","Family Medicine","Beaumont Hospital, Dearborn","16","Male","English Malayalam","Newborns Pediatrics Teenagers Adults","University of Rochester School of Medicine/Dentistry","4.8 out of 5"
"Satya Chilukuri","Internal Medicine","Beaumont Hospital, Wayne","","Female","English Hindi Telugu","Adults Geriatrics","Beaumont Hospital, Dearborn","4.4 out of 5"
"David B Wolf","Internal Medicine","Beaumont Hospital, Royal Oak","35","Male","English","Adults Geriatrics","Beaumont Hospital, Royal Oak",""
"Shruti Ramakrishna","Family Medicine","Beaumont Hospital, Grosse Pointe","8","Female","English","Newborns Pediatrics Teenagers Adults Geriatrics","Ascension Providence Hospital","4.9 out of 5"
"Frederick M Karoub","Internal Medicine","Beaumont Hospital, Royal Oak","29","Male","English","Adults Geriatrics","Beaumont Hospital, Royal Oak",""
"Helen S Economy","Pediatrics","Beaumont Hospital, Royal Oak","18","Female","English","Newborns Pediatrics Teenagers","Children's Hospital of Michigan - DMC",""
"Armen A Korkigian","Geriatric Medicine","Beaumont Hospital, Farmington Hills","43","Male","Armenian English","Adults Geriatrics","Beaumont Health - Farmington Hills",""
"Gena L Harrison","Family Medicine","Beaumont Hospital, Farmington Hills","10","Female","English","Newborns Pediatrics Teenagers Adults Geriatrics","Albert B Chandler Medical Center","4.7 out of 5"
"Stewart L Baroff","Internal Medicine","Beaumont Hospital, Farmington Hills","31","Male","English","Adults Geriatrics","Beaumont Health - Farmington Hills",""
"Alexis R Balomenos","Pediatrics","Beaumont Hospital, Grosse Pointe","26","Female","English","Pediatrics Teenagers","St John Hospital & Medical Center",""
"Benjamin M Rossi","Internal Medicine","Beaumont Hospital, Farmington Hills","18","Male","English Spanish","Adults Geriatrics","Beaumont Health - Farmington Hills","4.8 out of 5"
"David J Everingham","Family Medicine","Beaumont Hospital, Wayne","","Male","English","Pediatrics Teenagers Adults Geriatrics","Riverside Osteopathic Hospital","4.7 out of 5"
"Kristen A Herman","Pediatrics","Beaumont Hospital, Troy","22","Female","English","Newborns Pediatrics Teenagers","Beaumont Hospital, Royal Oak",""
"Natacha Umlauf-Barrera","Pediatrics","Beaumont Hospital, Dearborn","34","Female","English French Portuguese Spanish","Newborns Pediatrics Teenagers","University of Texas-Houston Health Science Center",""
"Jeffrey J Kane","Internal Medicine","Beaumont Hospital, Dearborn","15","Male","English","Adults Geriatrics","Beaumont Hospital, Dearborn","4.8 out of 5"
"Helen S Economy","Pediatrics","Beaumont Hospital, Royal Oak","18","Female","English","Newborns Pediatrics Teenagers","Children's Hospital of Michigan - DMC",""
"Hasan S F Hasan","Internal Medicine","Beaumont Hospital, Farmington Hills","31","Male","Arabic English","Adults Geriatrics","Seton Hall University/St. Francis Medical Center",""
"Alissa N Citron","Family Medicine","Beaumont Hospital, Royal Oak","21","Female","English Hebrew Spanish","Pediatrics Teenagers Adults Geriatrics","St John Macomb-Oakland Hospital, Oakland Center","4.6 out of 5"
"Nashwan Yacoub Yousif","Internal Medicine","Beaumont Hospital, Troy","39","Male","Arabic English","Adults Geriatrics","St Joseph Mercy Oakland",""
"Fuad M Rahimee","Internal Medicine","Beaumont Hospital, Dearborn","13","Male","Arabic English Spanish","Newborns Pediatrics Teenagers Adults Geriatrics","St. John Hospital and Medical Center",""
"Roger S Silverstein","Pediatrics","Beaumont Hospital, Royal Oak","38","Male","English","Newborns Pediatrics Teenagers","Children's Hospital of Michigan - DMC",""
"Mark B Wein","Family Medicine","Beaumont Hospital, Trenton","29","Male","English","Newborns Pediatrics Teenagers Adults Geriatrics","Garden City Hospital",""
"Andrew M Oleszkowicz","Family Medicine","Beaumont Hospital, Grosse Pointe","15","Male","English","Newborns Pediatrics Teenagers Adults Geriatrics","University of Wisconsin Hospital - Madison","4.9 out of 5"
"Isabel Holland-Davis","Pediatrics","Beaumont Hospital, Royal Oak","33","Female","English","Pediatrics","University of Michigan Hospitals and Health Centers",""
"Vicki L Solway","Pediatrics","Beaumont Hospital, Royal Oak","39","Female","English","Newborns Pediatrics Teenagers","Children's Hospital of Michigan - DMC",""
"Peter A Lipson","Internal Medicine","Beaumont Hospital, Royal Oak","23","Male","English French Spanish","Adults Geriatrics","Northwestern University",""
"Jeffrey S Deitch","Family Medicine","Beaumont Hospital, Farmington Hills","34","Male","English","Pediatrics Teenagers Adults Geriatrics","Beaumont Health - Farmington Hills",""
"Elie Mulhem","Family Medicine","Beaumont Hospital, Grosse Pointe","33","Male","Arabic English","Newborns Pediatrics Teenagers Adults Geriatrics","University of Minnesota Hospital and Clinic","4.7 out of 5"
"Eliisa Bojanic","Family Medicine","Beaumont Hospital, Grosse Pointe","4","Female","English","Newborns Pediatrics Teenagers Adults Geriatrics","Beaumont Health - Grosse Pointe",""
"Kathleen F Delaney","Pediatrics","Beaumont Hospital, Royal Oak","12","Female","English","Pediatrics Teenagers","Beaumont Hospital, Royal Oak",""
"Scott A Yaekle","Family Medicine","Beaumont Hospital, Dearborn","29","Male","English","Newborns Pediatrics Teenagers Adults Geriatrics","Beaumont Hospital, Dearborn","4.9 out of 5"
"Chin S Yi","Family Medicine","Beaumont Hospital, Wayne","","Male","English Korean","Newborns Pediatrics Teenagers Adults Geriatrics","Beaumont Hospital, Dearborn","4.7 out of 5"
"Ashley E Alexander","Internal Medicine","Beaumont Hospital, Grosse Pointe","10","Female","English","Adults Geriatrics","Beaumont Hospital, Farmington Hills","4.8 out of 5"
"Sheila Sungurlu","Internal Medicine","Beaumont Hospital, Taylor","12","Female","English Farsi Turkish","Adults","Oakwood Hospital - Dearborn","4.7 out of 5"
"Sumner L Camisa","Internal Medicine","Beaumont Hospital, Royal Oak","","Male","English Spanish","Adults Geriatrics","Beaumont Hospital, Royal Oak",""
"Kevin A Kutskill","Pediatrics","Beaumont Hospital, Grosse Pointe","33","Male","English","Newborns Pediatrics Teenagers","St John Hospital & Medical Center",""
"Katherine A Parish","Family Medicine","Beaumont Hospital, Troy","11","Female","English","Newborns Pediatrics Teenagers Adults Geriatrics","Beaumont Hospital, Troy",""
"James A Golden","Internal Medicine","Beaumont Hospital, Royal Oak","37","Male","English","Adults","Henry Ford Hospital",""
"James J Choi","Family Medicine","Beaumont Hospital, Wayne","9","Male","English Korean","Newborns Pediatrics Teenagers Adults Geriatrics","Beaumont Hospital, Wayne","4.8 out of 5"
"Ami K Mavani","Pediatrics","Beaumont Hospital, Royal Oak","27","Female","English Gujarati Hindi Marathi","Newborns Pediatrics Teenagers","Children's Hospital of Michigan - DMC",""
"Nidhi M Shishu","Internal Medicine","Beaumont Hospital, Royal Oak","25","Female","English Hindi","Teenagers Adults Geriatrics","Government Medical College",""
"Zachary T Lemon","Internal Medicine","Beaumont Hospital, Farmington Hills","15","Male","English","Adults Geriatrics","Garden City Osteopathic Hospital (Michigan)","4.9 out of 5"
"Carolyn D. Nelson","Family Medicine","Beaumont Hospital, Farmington Hills","38","Female","English","Newborns Pediatrics Teenagers Adults Geriatrics","Beaumont Health - Farmington Hills","4.9 out of 5"
"Robin Sam Thomas","Family Medicine","Beaumont Hospital, Grosse Pointe","9","Male","English","Teenagers Adults Geriatrics","Beaumont Hospital, Grosse Pointe","4.8 out of 5"
"Georgina Leamon","Geriatric Medicine","Beaumont Hospital, Royal Oak","4","Female","English","","Beaumont Geriatrics and Palliative Care - IP","4.8 out of 5"
"Carolyn D. Nelson","Family Medicine","Beaumont Hospital, Farmington Hills","38","Female","English","Newborns Pediatrics Teenagers Adults Geriatrics","Beaumont Health - Farmington Hills","4.9 out of 5"
"Georgina Leamon","Geriatric Medicine","Beaumont Hospital, Royal Oak","4","Female","English","","Beaumont Geriatrics and Palliative Care - IP","4.8 out of 5"
"Rajiv B John","Internal Medicine","Beaumont Hospital, Dearborn","","Male","English","Adults Geriatrics","Oakwood Hospital - Dearborn",""
"Jonathan W Zimmerman","Internal Medicine","Beaumont Hospital, Dearborn","23","Male","English","Adults","University of Michigan","4.9 out of 5"
"Lalitha Bhogineni","Internal Medicine","Beaumont Hospital, Royal Oak","30","Female","English Tamil Telugu","Adults Geriatrics","Beaumont Hospital, Royal Oak","4.8 out of 5"
"Carla Oska-Gerak","Pediatrics","Beaumont Hospital, Farmington Hills","14","Female","Arabic English","Newborns Pediatrics Teenagers","William Beaumont Children's Hospital (Michigan)","4.8 out of 5"
"Peter J Rodin","Family Medicine","Beaumont Hospital, Grosse Pointe","40","Male","English","Newborns Pediatrics Teenagers Adults Geriatrics","Bon Secours Hospital","4.8 out of 5"
"Jodie D Rappe","Family Medicine","Beaumont Hospital, Grosse Pointe","","Female","English","Newborns Pediatrics Teenagers Adults Geriatrics","Camp Pendleton Naval Hospital","4.7 out of 5"
"Asha Shajahan","Family Medicine","Beaumont Hospital, Grosse Pointe","13","Female","English","Pediatrics Teenagers Adults Geriatrics","Henry Ford Hospital","4.7 out of 5"
"Leia Fizette Meyers","Family Medicine","Beaumont Hospital, Grosse Pointe","21","Female","English","Pediatrics Teenagers Adults Geriatrics","Bon Secours Hospital","4.9 out of 5"
"Georgina Leamon","Geriatric Medicine","Beaumont Hospital, Royal Oak","4","Female","English","","Beaumont Geriatrics and Palliative Care - IP","4.8 out of 5"
"Carolyn D. Nelson","Family Medicine","Beaumont Hospital, Farmington Hills","38","Female","English","Newborns Pediatrics Teenagers Adults Geriatrics","Beaumont Health - Farmington Hills","4.9 out of 5"
"Zachary T Lemon","Internal Medicine","Beaumont Hospital, Farmington Hills","15","Male","English","Adults Geriatrics","Garden City Osteopathic Hospital (Michigan)","4.9 out of 5"
"Nidhi M Shishu","Internal Medicine","Beaumont Hospital, Royal Oak","25","Female","English Hindi","Teenagers Adults Geriatrics","Government Medical College",""
"Badrea L Elder","Family Medicine","Beaumont Hospital, Troy","5","Female","Arabic English","Newborns Pediatrics Teenagers Adults Geriatrics","Beaumont Hospital, Troy","4.7 out of 5"
"Bernardo A Rojas","Internal Medicine","Beaumont Hospital, Troy","51","Male","English Spanish","Adults Geriatrics","University Hospital","4.8 out of 5"
"Robin Sam Thomas","Family Medicine","Beaumont Hospital, Grosse Pointe","9","Male","English","Teenagers Adults Geriatrics","Beaumont Hospital, Grosse Pointe","4.8 out of 5"
"Carolyn E Nine","Family Medicine","Beaumont Hospital, Grosse Pointe","29","Female","English","Newborns Pediatrics Teenagers Adults Geriatrics","Bon Secours Cottage Hospital","4.9 out of 5"
"Wehbi R Hanayni","Internal Medicine","Beaumont Hospital, Dearborn","4","Male","Arabic English French","","Beaumont Hospital, Dearborn",""
"Asha Shajahan","Family Medicine","Beaumont Hospital, Grosse Pointe","13","Female","English","Pediatrics Teenagers Adults Geriatrics","Henry Ford Hospital","4.7 out of 5"
"Trevor Ripley","Family Medicine","Beaumont Hospital, Grosse Pointe","14","Male","English","Newborns Pediatrics Teenagers Adults Geriatrics","Beaumont Hospital, Troy","4.9 out of 5"
"Lisa M Maehara","Family Medicine","Beaumont Hospital, Grosse Pointe","5","Female","English","","McLaren Macomb Hospital","4.7 out of 5"
"Liza J Weathersby","Family Medicine","Beaumont Hospital, Farmington Hills","21","Female","English","Newborns Pediatrics Teenagers Adults Geriatrics","Genesys Regional Medical Center (Michigan)","4.8 out of 5"
"Surinder Kaura","Internal Medicine","Beaumont Hospital, Dearborn","","Male","English Hindi Punjabi","Adults Geriatrics","Grace Hospital",""
"Puneet K Aggarwal","Family Medicine","Beaumont Hospital, Dearborn","","Male","English Hindi Punjabi","Newborns Pediatrics Teenagers Adults Geriatrics","Hennepin County Medical Center",""
"Mara L Geiger","Internal Medicine","Beaumont Hospital, Troy","","Female","English","Adults Geriatrics","Beaumont Hospital, Royal Oak",""
"Ehab M Brikho","Internal Medicine","Beaumont Hospital, Royal Oak","","Male","Arabic Chaldean English","Adults Geriatrics","Ascension Providence Hospital",""
"Rakesh J. Patel","Internal Medicine","Beaumont Hospital, Wayne","","Male","English Gujarati Hindi","Adults Geriatrics","Wayne State University/DMC",""
"Harini E Reddy","Pediatrics","Beaumont Hospital, Royal Oak","","Female","English","Newborns Pediatrics Teenagers","Children's Hospital of Michigan - DMC",""
"Kevin J Nurmi","Internal Medicine","Beaumont Hospital, Royal Oak","","Male","English","Adults Geriatrics","Beaumont Hospital, Royal Oak",""
"Aref I Hindawi","Internal Medicine","Beaumont Hospital, Grosse Pointe","","Male","Arabic English","Adults Geriatrics","Bon Secours Hospital",""
"Ronald G Bellisario","Family Medicine","Beaumont Hospital, Troy","","Male","English","Newborns Pediatrics Teenagers Adults Geriatrics","Beaumont Hospital, Troy",""
"Brett A Holmes","Internal Medicine","Beaumont Hospital, Royal Oak","","Male","English","Adults","Beaumont Hospital, Royal Oak","4.9 out of 5"
"Robert J Egan","Family Medicine","Beaumont Hospital, Farmington Hills","","Male","English","Pediatrics Teenagers Adults Geriatrics","Wayne State University School of Medicine (Michigan)",""
"Stephen A Williams","Internal Medicine","Beaumont Hospital, Troy","","Male","English","Adults Geriatrics","University of Rochester Medical Center","4.8 out of 5"
"Veena Sabharwal","Pediatrics","Beaumont Hospital, Royal Oak","","Female","English Hindi","Pediatrics Teenagers","Beaumont Hospital, Royal Oak",""
"Christine L Karle","Family Medicine","Beaumont Hospital, Troy","","Female","English","Newborns Pediatrics Teenagers Adults Geriatrics","Beaumont Hospital, Farmington Hills",""
"Silke Greil","Internal Medicine","Beaumont Hospital, Dearborn","","Female","English French German","Adults Geriatrics","St. Joseph Mercy Hospital",""
"Michael A Barnes","Internal Medicine","Beaumont Hospital, Royal Oak","","Male","English","Adults","Beaumont Hospital, Royal Oak","4.9 out of 5"
"Nader M Demeri","Internal Medicine","Beaumont Hospital, Royal Oak","","Male","Arabic English Spanish","Adults Geriatrics","Wayne State University School of Medicine",""
"Alan N Bunney","Internal Medicine","Beaumont Hospital, Royal Oak","","Male","English Japanese","Adults Geriatrics","University of Miami, Holy Cross Hospital",""
